client_id,group_id,time,data_num,label0,label1,label2,label3,label4,label5,label6,label7,label8,label9
59,1,9.34,600.0,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0
60,6,16.47,600.0,0.0,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0
61,7,19.21,600.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2
62,0,7.05,600.0,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0
63,4,14.28,600.0,0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0
64,9,26.23,600.0,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0
65,4,13.59,600.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2
66,8,20.64,600.0,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.0
67,6,17.42,600.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
68,9,25.22,600.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0
69,0,8.21,600.0,0.0,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0
70,4,13.71,600.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.2
71,9,28.13,600.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2
72,8,22.75,600.0,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.0
73,7,18.62,600.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.0
74,2,11.21,600.0,0.2,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0
75,5,16.15,600.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0
76,4,13.54,600.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.2
77,8,20.38,600.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
78,4,14.28,600.0,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0
79,9,25.8,600.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.0
80,6,16.5,600.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.2
81,6,17.01,600.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.2
82,2,11.35,600.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
83,3,12.56,600.0,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2
84,7,18.44,600.0,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0
85,1,9.06,600.0,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0
86,1,9.94,600.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.2,0.0,0.0
87,3,12.38,600.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0
88,0,8.84,600.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.2
89,6,17.39,600.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.2,0.0
90,7,19.67,600.0,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0
91,0,5.52,600.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.2
92,3,13.08,600.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2
93,1,10.57,600.0,0.0,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0
94,1,9.41,600.0,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0
95,5,14.92,600.0,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2
96,4,14.43,600.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2
97,0,8.99,600.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.0
98,7,18.62,600.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2
99,2,11.88,600.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2
