Epoch,Group_ID,Selected_Clients,edge_round_time,Simulation_Time,Accuracy,Loss,Run_Time
45,3,"[20, 28, 45, 93, 8, 91, 48, 38, 3, 27]",8.75,82.99,48.046875,1.4652028527015295,94.29098105430603
49,4,"[76, 86, 92, 51, 94, 88, 2, 12, 80, 75]",8.03,77.59,48.38741987179487,1.303450081592951,102.91245293617249
52,2,"[16, 97, 84, 64, 78, 89, 23, 95, 39, 85]",7.89,91.37,52.75440705128205,1.2071145069904816,105.27936244010925
53,4,"[7, 12, 76, 70, 80, 35, 25, 86, 43, 75]",8.03,90.62,38.37139423076923,1.5859670516772149,106.0027072429657
54,0,"[32, 83, 77, 1, 50, 98, 34, 72, 6, 68]",7.88,52.940000000000005,39.743589743589745,1.4838630312528365,111.9418478012085
59,4,"[62, 67, 51, 70, 25, 86, 76, 35, 94, 53]",7.31,102.93,50.0,1.226945161819458,121.30244445800781
60,3,"[96, 93, 17, 9, 28, 38, 20, 87, 27, 8]",8.03,96.02,45.36258012820513,1.282166560490926,123.80820059776306
64,4,"[35, 53, 43, 88, 80, 51, 2, 12, 86, 76]",8.01,115.94000000000001,55.37860576923077,1.155091758721914,130.7431046962738
65,3,"[38, 8, 9, 65, 96, 3, 74, 27, 91, 47]",8.83,109.85,57.732371794871796,1.167058744491675,132.2547562122345
66,0,"[1, 10, 6, 34, 77, 98, 32, 69, 42, 11]",8.35,66.29,43.02884615384615,1.3898378946842291,133.37498807907104
67,2,"[36, 59, 41, 23, 63, 82, 89, 0, 46, 61]",9.11,105.48,37.92067307692308,1.5121346391164339,134.1654109954834
71,0,"[10, 69, 11, 6, 52, 42, 1, 72, 77, 98]",8.43,79.72,50.671073717948715,1.2127169126119368,142.58644342422485
74,1,"[57, 26, 14, 79, 44, 90, 21, 99, 49, 31]",8.97,69.38000000000001,51.22195512820513,1.182726902839465,149.63318753242493
76,0,"[32, 10, 83, 34, 33, 6, 50, 11, 58, 52]",7.61,92.33,59.52524038461539,1.1005779932706783,151.0677170753479
77,2,"[16, 59, 84, 82, 22, 61, 89, 97, 78, 23]",9.08,119.56,53.60576923076923,1.0523325648063269,152.39574813842773
78,4,"[88, 25, 75, 51, 35, 2, 73, 86, 76, 62]",8.22,129.16000000000003,56.61057692307692,1.1836811831364265,153.32600617408752
83,4,"[43, 12, 67, 70, 7, 76, 75, 25, 86, 35]",7.34,141.50000000000003,57.00120192307692,1.1992553174495697,162.60188388824463
84,1,"[56, 37, 66, 40, 26, 49, 57, 90, 44, 31]",9.2,83.58000000000001,57.28165064102564,1.153926907441555,167.64550304412842
85,0,"[83, 50, 11, 29, 72, 6, 68, 55, 42, 10]",8.4,105.73,51.96314102564103,1.2554666079007661,168.4820728302002
86,2,"[39, 18, 97, 59, 78, 60, 46, 0, 16, 22]",6.33,130.89,54.31690705128205,1.0869579972364964,169.63578724861145
88,3,"[30, 38, 27, 17, 54, 65, 3, 96, 87, 48]",8.75,123.6,58.092948717948715,1.1506469272650206,172.1137659549713
89,1,"[37, 56, 15, 40, 31, 21, 90, 5, 4, 66]",8.87,97.45000000000002,59.875801282051285,1.0806050178332207,173.92506909370422
