Epoch,Group_ID,Selected_Clients,Client_Count,Max_Delay,Accuracy,Loss,Run_Time
1917,1,40;79;5;44;26;31;4;37;66;57,10,9.08,80.0380608974359,0.5497375413393363,3505.6556119918823
1918,0,1;6;83;98;52;29;11;33;32;69,10,7.61,78.70592948717949,0.6089972781065183,3507.481226682663
1919,3,9;48;87;38;20;28;74;45;8;17,10,8.74,78.89623397435898,0.556723103309289,3509.8182537555695
1920,4,76;35;62;53;43;80;70;2;94;92,10,8.04,79.15665064102564,0.5178255434983816,3511.9619669914246
1921,2,23;84;60;16;82;85;64;95;24;19,10,7.93,79.96794871794872,0.5284108385825769,3513.7693190574646
1922,1,31;57;66;49;56;4;79;40;44;37,10,8.92,76.15184294871794,0.6246763979777311,3515.1847286224365
1923,0,32;29;10;6;83;58;1;72;33;69,10,7.88,77.74439102564102,0.6587789780818499,3515.967511177063
1924,3,87;17;91;96;3;20;47;48;74;65,10,8.92,78.01482371794872,0.5774860817652482,3519.3635358810425
1925,4,43;92;86;88;80;25;62;76;51;73,10,8.26,81.81089743589743,0.4967891635038914,3520.792011976242
1926,2,78;89;18;60;39;36;22;95;64;59,10,7.9,81.2099358974359,0.4946560691564511,3522.219886779785
1927,0,29;55;77;68;11;6;98;58;72;34,10,7.9,76.90304487179488,0.5880708002891296,3524.4850990772247
1928,1,56;40;21;90;26;15;13;4;14;66,10,9.23,73.66786858974359,0.7181459890726285,3525.31036400795
1929,3,8;54;45;93;27;81;87;74;20;3,10,8.38,78.74599358974359,0.564384075311514,3528.3367762565613
1930,4,43;75;53;73;94;62;70;12;35;25,10,8.22,82.05128205128206,0.4805183357153183,3529.5442943573
1931,0,77;98;83;1;58;11;55;6;32;68,10,6.14,78.2051282051282,0.5555673833840933,3531.546327829361
1932,2,0;95;18;64;60;41;61;39;78;22,10,9.13,78.71594551282051,0.5372199263328161,3532.128613948822
1933,1,90;79;99;21;57;15;71;49;13;31,10,7.72,77.80448717948718,0.5772048506217126,3533.5543732643127
1934,3,96;8;47;93;45;91;74;3;20;17,10,8.86,79.71754807692308,0.5474596210779288,3537.783031463623
1935,4,51;94;92;73;25;76;62;35;67;43,10,8.23,80.8994391025641,0.4921708534925412,3538.5283238887787
1936,0,11;58;34;29;83;6;68;69;50;77,10,6.1,79.45713141025641,0.5331564874221117,3539.032743215561
1937,2,78;63;19;82;16;24;36;18;46;95,10,7.7,76.86298076923077,0.5739357796234962,3540.460420846939
1938,1,26;71;99;15;79;44;21;14;4;66,10,8.97,76.55248397435898,0.6049786932193316,3543.101156234741
1939,3,8;9;93;87;81;54;27;28;96;30,10,8.02,79.35697115384616,0.5569374729425479,3546.54341506958
1940,4,88;76;94;2;86;12;25;80;73;67,10,8.25,80.08814102564102,0.5194759124364609,3547.3542490005493
1941,0,11;52;68;98;42;10;50;69;1;72,10,8.41,80.51883012820512,0.49963106291416365,3548.056036233902
1942,2,97;60;46;64;85;39;41;19;59;24,10,8.67,79.27684294871794,0.5328911974644049,3549.724779844284
1943,1,4;26;56;49;40;79;21;13;99;5,10,9.23,74.21875,0.6741783446990527,3552.9093708992004
1944,4,75;88;86;70;76;2;67;12;51;25,10,7.31,80.96955128205128,0.5058036014819757,3555.2623767852783
1945,3,45;9;17;87;96;8;38;20;91;48,10,8.73,80.35857371794872,0.5119368529472595,3555.8829753398895
1946,0,32;98;33;29;6;11;34;72;83;52,10,7.93,75.79126602564102,0.7109910322305484,3556.5887594223022
1947,2,61;18;95;39;16;41;22;97;59;0,10,9.11,72.94671474358974,0.674194797491416,3559.408085346222
1948,1,49;4;44;31;71;26;57;56;90;37,10,9.06,78.02483974358974,0.5822096872024047,3562.6065287590027
1949,4,25;94;35;76;75;86;2;80;92;73,10,8.26,77.70432692307692,0.5474877346020478,3564.1440513134003
1950,0,29;69;10;52;55;11;6;77;68;98,10,7.62,78.03485576923077,0.5676102951551095,3564.942297935486
1951,3,87;28;48;54;96;74;45;8;3;93,10,8.76,78.48557692307692,0.5785422267822119,3565.3744716644287
1952,2,46;59;16;61;78;82;23;85;41;89,10,9.11,76.37219551282051,0.5886249244213104,3569.116737127304
1953,1,71;99;57;15;40;14;37;90;49;4,10,8.72,79.3770032051282,0.5407358916142048,3572.1105563640594
1954,4,25;53;67;2;75;62;92;94;43;35,10,7.38,81.84094551282051,0.4937062145043642,3572.6095004081726
1955,0,34;72;77;29;33;1;11;58;52;32,10,7.93,78.90625,0.5441227838014945,3573.5344064235687
1956,3,96;17;8;93;48;30;81;65;3;45,10,8.76,78.30528846153847,0.5667397750493808,3574.7642953395844
1957,2,16;78;59;84;85;18;41;95;64;82,10,8.68,79.00641025641026,0.5285590665462689,3578.4056165218353
1958,4,76;75;67;80;7;62;35;12;94;43,10,8.02,78.30528846153847,0.5284586766591439,3581.2458810806274
